Occupations x Professions

baker           (padeiro)
bricklayer      (pedreiro)
butcher         (açogueiro)
cashier         (caixa)
cook            (cozinheiro)
dentist         (dentista)
doctor          (médico)
taxi driver     (motorista de taxi)
buss driver     (motorista de ônibus)
limo driver     (motorista de limosine)
truck driver    (motorista de caminhão)
eletrician      (eletricista)
engineer        (engenheiro)
fireman         (bombeiro)
gerdener        (jardineiro)
lawyer          (advogado)
mechanic        (mecânico)
nurse           (enfermeiro)
painter         (pintor)
plumber         (encanador)
police officer  (policial)
realtor         (corretor)
secretary       (secretária)
receptionist    (recepcionista)
singer          (cantor)
soccer player   (jogador futebol)
student         (estudante)
teacher         (professor)
waitress/waiter (garçonete/garçon)
 
